B1,B2,B3,B4,B5,B6,Sector
-79,-80,-68,-70,-65,-71,7
-78,-89,-68,-67,-64,-72,7
-77,-94,-68,-67,-69,-71,7
-76,-82,-68,-67,-69,-70,7
-75,-94,-68,-100,-72,-70,7
-73,-83,-71,-63,-66,-69,7
-75,-93,-69,-64,-67,-81,7
-80,-85,-71,-63,-66,-81,7
-81,-89,-71,-64,-69,-73,7
-81,-77,-71,-102,-69,-71,7
-69,-87,-68,-67,-70,-79,7
-66,-78,-68,-65,-65,-75,7
-73,-89,-67,-64,-65,-80,7
-80,-80,-68,-65,-67,-70,7
-74,-81,-74,-64,-66,-76,7
-73,-89,-76,-66,-68,-75,7
-76,-93,-78,-69,-68,-74,7
-87,-84,-74,-67,-98,-81,7
-78,-91,-73,-64,-98,-78,7
-78,-79,-73,-64,-98,-76,7
-81,-81,-77,-64,-69,-66,7
-71,-91,-78,-69,-68,-66,7
-72,-81,-77,-70,-69,-66,7
-72,-90,-73,-69,-62,-78,7
-67,-92,-72,-69,-62,-82,7
-70,-81,-71,-64,-70,-83,7
-72,-80,-71,-63,-69,-70,7
-71,-79,-77,-62,-70,-69,7
-69,-89,-77,-98,-71,-73,7
-68,-78,-74,-62,-63,-89,7
-70,-79,-74,-64,-62,-84,7
-71,-89,-78,-65,-67,-89,7
-69,-78,-76,-64,-67,-73,7
-68,-88,-76,-66,-68,-73,7
-69,-78,-69,-65,-101,-72,7
-69,-89,-69,-66,-98,-80,7
-68,-78,-72,-65,-62,-80,7
-70,-87,-72,-68,-102,-83,7
-70,-88,-69,-70,-68,-66,7
-70,-76,-72,-64,-69,-77,7
-70,-78,-76,-64,-69,-69,7
-69,-90,-76,-64,-69,-66,7
-69,-78,-74,-67,-67,-73,7
-68,-87,-73,-72,-68,-73,7
-68,-73,-75,-72,-68,-76,7
-69,-84,-80,-70,-73,-78,7
-70,-84,-81,-69,-68,-67,7
-70,-90,-79,-69,-67,-67,7
-70,-80,-81,-74,-67,-66,7
-73,-89,-76,-66,-63,-76,7
-73,-80,-71,-71,-100,-76,7
-73,-92,-70,-69,-100,-67,7
-72,-90,-70,-64,-62,-67,7
-71,-81,-69,-64,-101,-72,7
-70,-82,-71,-65,-70,-76,7
-71,-82,-78,-69,-69,-82,7
-70,-90,-68,-69,-68,-78,7
-67,-78,-73,-70,-100,-67,7
-68,-88,-75,-65,-62,-69,7
-68,-88,-74,-68,-70,-73,7
-73,-83,-74,-68,-69,-72,7
-72,-88,-74,-66,-69,-67,7
-72,-76,-67,-68,-62,-73,7
-70,-85,-68,-66,-98,-70,7
-69,-75,-66,-66,-62,-76,7
-69,-87,-70,-67,-98,-69,7
-69,-76,-70,-67,-73,-70,7
-77,-80,-70,-68,-73,-70,7
-74,-81,-68,-68,-68,-76,7
-70,-71,-69,-73,-68,-73,7
-70,-82,-69,-71,-69,-69,7
-71,-72,-69,-68,-70,-68,7
-70,-85,-69,-72,-70,-71,7
